見合三A眞平 ciun 均
羣開三A眞平 gin 𧼒
滂三B眞平 pin 砏
莊開三臻平 dren 臻
生開三臻平 sren 莘
崇開三臻平 jren 𦿒
明三文平 ven 文
云合三文平 yun 雲
影合三文平 iun 熅
並三文平 fven 汾
幫三文平 fen 分
羣合三文平 giun 羣
曉合三文平 xiun 薰
見合三文平 ciun 君
滂三文平 fen 芬
曉開三欣平 xin 欣
影開三欣平 in 殷
羣開三欣平 gin 勤
見開三欣平 cin 斤
疑開三欣平 qin 䖐
疑合三元平 qiuan 元
云合三元平 yuan 袁
並三元平 fvan 煩
滂三元平 fan 飜
曉合三元平 xiuan 暄
影合三元平 iuan 鴛
疑開三元平 qien 言
溪開三元平 kien 攑
曉開三元平 xien 軒
見開三元平 cien 𢳚
影開三元平 ien 蔫
幫三元平 fan 蕃
羣開三元平 gien 𥴤
明三元平 van 樠
匣合一魂平 hun 䰟
見合一魂平 cun 昆
影合一魂平 un 𥁕
明一魂平 men 門
心合一魂平 sun 孫
精合一魂平 zun 尊
從合一魂平 dzun 存
端合一魂平 dun 敦
透合一魂平 tun 暾
定合一魂平 dhun 屯
清合一魂平 tsun 村
疑合一魂平 qun 㑮
並一魂平 bhen 盆
幫一魂平 ben 奔
來合一魂平 lun 論
溪合一魂平 kun 坤
曉合一魂平 xun 昏
滂一魂平 pen 濆
泥合一魂平 nun 黁
匣開一痕平 hen 痕
見開一痕平 cen 根
影開一痕平 en 恩
透開一痕平 ten 吞
疑開一痕平 qen 垠
匣開一寒平 hon 寒
疑開一寒平 qon 豻
端開一寒平 dan 單
影開一寒平 on 安
泥開一寒平 nan 難
清開一寒平 tsan 餐
透開一寒平 tan 灘
心開一寒平 san 𦙱
定開一寒平 dhan 壇
從開一寒平 dzan 殘
見開一寒平 con 干
來開一寒平 lan 蘭
溪開一寒平 kon 看
曉開一寒平 xon 頇
泥合一寒平 non 濡
匣合一寒平 huon 桓
疑合一寒平 quon 岏
端合一寒平 don 端
影合一寒平 uon 剜
透合一寒平 ton 湍
心合一寒平 son 酸
定合一寒平 dhon 團
從合一寒平 dzon 欑
見合一寒平 cuon 官
來合一寒平 lon 鑾
曉合一寒平 xuon 歡
溪合一寒平 kuon 寬
精合一寒平 zon 鑽
並一寒平 bhon 槃
明一寒平 mon 瞞
滂一寒平 pon 潘
幫一寒平 bon 𤳖
生開二刪平 sran 刪
見合二刪平 cuan 關
影合二刪平 uan 彎
生合二刪平 sruan 𣟴
匣合二刪平 huan 還
幫二刪平 ban 班
明二刪平 man 蠻
疑開二刪平 qean 顏
見開二刪平 cean 姦
滂二刪平 pan 攀
孃合二刪平 nuan 奻
疑合二刪平 quan 𤸷
溪開二刪平 kean 馯
莊合二刪平 druan 跧
生開二山平 sran 山
見合二山平 cuan 鰥
見開二山平 cean 間
匣開二山平 hean 閒
溪開二山平 kean 慳
崇開二山平 jran 虥
曉開二山平 xean 羴
疑開二山平 qean 訮
影開二山平 ean 黰
幫二山平 ban 斒
來開二山平 lan 斕
孃開二山平 nan 嘫
昌開二山平 chan 㺗
影合二山平 uan 𡣬
澄合二山平 dhyuan 窀
來合二山平 luan 𡰠
羣合二山平 guan 𡰝
知開二山平 dyan 譠
澄開二山平 dhyan 𤣆
匣合二山平 huan 湲
心開四先平 sien 先
從開四先平 dzien 前
清開四先平 tsien 千
精開四先平 zien 箋
透開四先平 tien 天
見開四先平 cien 堅
匣開四先平 hien 賢
影開四先平 ien 煙
來開四先平 lien 蓮
定開四先平 dhien 田
泥開四先平 nien 秊
端開四先平 dien 顛
溪開四先平 kien 牽
疑開四先平 qien 妍
明四先平 mien 眠
並四先平 bhien 蹁
影合四先平 iuan 淵
見合四先平 ciuan 涓
曉合四先平 xiuan 鋗
幫四先平 bien 邊
匣合四先平 hiuan 玄
曉開四先平 xien 祆
崇合四先平 jruan 𤜼
心開三仙平 sien 仙
從開三仙平 dzien 錢
清開三仙平 tsien 遷
精開三仙平 zien 煎
日開三仙平 ran 然
以開三仙平 yen 延
章開三仙平 jan 𩜾
見開三A仙平 cien 甄
知開三仙平 dyan 邅
崇開三仙平 jran 潺
書開三仙平 shan 羶
徹開三仙平 tyan 脠
常開三仙平 zhan 鋋
澄開三仙平 dhyan 纏
曉開三B仙平 xien 嘕
來開三仙平 lien 連
滂三A仙平 pien 篇
並三A仙平 bhien 便
明三A仙平 mien 緜
從合三仙平 dziuan 全
心合三仙平 siuan 宣
精合三仙平 ziuan 鐫
曉合三A仙平 xiuan 翾
日合三仙平 ruan 堧
昌合三仙平 chuan 穿
以合三仙平 yuan 沿
邪合三仙平 sziuan 旋
影合三A仙平 iuan 娟
船合三仙平 djuan 船
幫三A仙平 bien 鞭
邪開三仙平 szien 㳄
清合三仙平 tsiuan 詮
章合三仙平 juan 專
常合三仙平 zhuan 遄
云合三仙平 yuan 員
莊合三仙平 druan 恮
生合三仙平 sruan 栓
徹合三仙平 tyuan 猭
羣開三B仙平 gien 乾
溪開三B仙平 kien 愆
羣合三B仙平 giuan 權
澄合三仙平 dhyuan 椽
來合三仙平 liuan 攣
溪合三B仙平 kiuan 弮
影開三B仙平 ien 焉
云開三仙平 yen 漹
影合三B仙平 iuan 𡣬
昌開三仙平 chan 燀
知合三仙平 dyuan 𡰝
見合三B仙平 ciuan 勬
心開四蕭平 siau 蕭
透開四蕭平 tiau 祧
端開四蕭平 diau 貂
定開四蕭平 dhiau 迢
見開四蕭平 ciau 驍
來開四蕭平 liau 聊
疑開四蕭平 qiau 堯
曉開四蕭平 xiau 膮
影開四蕭平 iau 幺
溪開四蕭平 kiau 鄡
心開三宵平 siau 宵
徹開三宵平 tyau 超
知開三宵平 dyau 朝
澄開三宵平 dhyau 鼂
曉開三B宵平 xiau 囂
從開三宵平 dziau 樵
見開三B宵平 ciau 驕
精開三宵平 ziau 焦
日開三宵平 rau 饒
書開三宵平 shau 燒
以開三宵平 yau 遙
常開三宵平 zhau 韶
章開三宵平 jau 昭
幫三A宵平 biau 飆
幫三B宵平 biau 鑣
並三A宵平 bhiau 瓢
明三A宵平 miau 蜱
明三B宵平 miau 苗
影開三A宵平 iau 要
云開三宵平 yau 鴞
羣開三B宵平 giau 喬
清開三宵平 tsiau 鍫
影開三B宵平 iau 妖
溪開三A宵平 kiau 蹻
昌開三宵平 chau 怊
滂三A宵平 piau 𤐫
羣開三A宵平 giau 翹
來開三宵平 liau 燎
溪開三B宵平 kiau 趫
匣開二肴平 heau 肴
見開二肴平 ceau 交
崇開二肴平 jrau 巢
孃開二肴平 nau 鐃
生開二肴平 srau 梢
明二肴平 mau 茅
曉開二肴平 xeau 虓
幫二肴平 bau 包
滂二肴平 pau 胞
溪開二肴平 keau 敲
疑開二肴平 qeau 聱
莊開二肴平 drau 𦗔
知開二肴平 dyau 嘲
初開二肴平 trau 䜈
並二肴平 bhau 庖
影開二肴平 eau 䫜
徹開二肴平 tyau 䫸
來開二肴平 lau 顟
澄開二肴平 dhyau 䄻
匣開一豪平 hau 豪
見開一豪平 cau 高
來開一豪平 lau 勞
曉開一豪平 xau 蒿
明一豪平 mau 毛
透開一豪平 tau 饕
端開一豪平 dau 刀
心開一豪平 sau 騷
並一豪平 bhau 袍
幫一豪平 bau 襃
定開一豪平 dhau 陶
精開一豪平 zau 糟
疑開一豪平 qau 敖
從開一豪平 dzau 曹
影開一豪平 au 𤏶
泥開一豪平 nau 猱
溪開一豪平 kau 尻
清開一豪平 tsau 操
滂一豪平 pau 㯱
見開一歌平 co 歌
清開一歌平 tso 蹉
端開一歌平 do 多
心開一歌平 so 娑
定開一歌平 dho 駝
從開一歌平 dzo 醝
疑開一歌平 qo 莪
透開一歌平 to 佗
來開一歌平 lo 羅
泥開一歌平 no 那
匣開一歌平 ho 何
曉開一歌平 xo 訶
溪開一歌平 ko 珂
影開一歌平 o 阿
見合一歌平 cuo 戈
清合一歌平 tso 遳
端合一歌平 do 𨹄
心合一歌平 so 莎
並一歌平 bho 婆
定合一歌平 dho 㸰
明一歌平 mo 摩
從合一歌平 dzo 矬
疑合一歌平 quo 訛
透合一歌平 to 詑
來合一歌平 lo 𩼊
泥合一歌平 no 捼
幫一歌平 bo 波
滂一歌平 po 頗
匣合一歌平 huo 和
溪合一歌平 ko 科
影合一歌平 uo 倭
曉合三歌平 xiue 鞾
影合三歌平 iue 𦚢
溪合三歌平 kiue 𩨷
羣開三歌平 gie 伽
溪開三歌平 kie 佉
見開三歌平 cie 迦
清合三歌平 tsiue 脞
精合三歌平 ziue 侳
羣合三歌平 giue 瘸
來合三歌平 liue 𦣛
明二麻平 ma 麻
昌開三麻平 che 車
書開三麻平 she 奢
以開三麻平 ye 邪
章開三麻平 je 遮
精開三麻平 zie 嗟
船開三麻平 dje 蛇
匣合二麻平 hua 華
見合二麻平 cua 瓜
曉合二麻平 xua 華
